Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563176,-,-,-,37.78,-122.41,0,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Wind Speed,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,0,0,13,2,44,44,1.2,94.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,1,0,11.9,0,0,0,1.3,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,2,0,11.6,0,0,0,1.4,99.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,3,0,11.4,0,0,0,1.4,99.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,4,0,11.2,0,0,0,1.4,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,5,0,11.1,0,0,0,1.4,98.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,6,0,10.8,0,0,0,1.5,99.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,7,0,10.3,0,0,0,1.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,8,0,10.1,0,0,0,1.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,9,0,10,0,0,0,1.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,10,0,9.9,0,0,0,1.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,11,0,9.9,0,0,0,1.6,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,12,0,9.8,0,0,0,1.5,99.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,13,0,9.8,0,0,0,1.5,98.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,14,0,9.8,0,0,0,1.3,97.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,15,0,9.9,0,0,0,1.1,96.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,16,0,10.6,431,25,64,1,93.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,17,0,11.4,707,45,220,0.8,90.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,18,0,12.9,0,62,62,0.9,87.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,19,0,13.7,0,65,65,1,85.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,20,0,14,0,72,72,1.3,85.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,21,0,14,0,86,86,1.6,85.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,22,0,13.8,0,72,72,1.7,86.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,6,23,0,13.3,0,29,29,1.7,88.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,0,0,12.4,582,43,145,1.4,93.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,1,0,11.4,0,0,0,1.3,96.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,2,0,11,0,0,0,1.3,97.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,3,0,10.8,0,0,0,1.3,96.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,4,0,10.8,0,0,0,1.3,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,5,0,10.8,0,0,0,1.5,96.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,6,0,10.9,0,0,0,1.8,95.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,7,0,11,0,0,0,2,94.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,8,0,10.7,0,0,0,2,95.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,9,0,10.5,0,0,0,1.9,94.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,10,0,10.3,0,0,0,1.9,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,11,0,10.2,0,0,0,2,93.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,7,12,0,10.2,0,0,0,2.2,93.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
